Wall time,Step,Value
1650605760.8076756,3706532,790.0631103515625
1650605813.121336,3706532,793.9849853515625
1650606446.5709443,3731968,798.5565795898438
1650606552.2011676,3735968,786.783203125
1650606604.6031187,3735968,813.6406860351562
1650606760.3111668,3744968,794.3514404296875
1650606839.203597,3745968,794.759033203125
1650606892.0274801,3749968,812.6983032226562
1650607127.7436743,3755968,790.6450805664062
1650607311.2796745,3764968,791.6444091796875
1650607654.9133983,3776207,797.8511962890625
1650607863.3464692,3786207,813.8624877929688
1650608205.6521616,3799207,787.6553955078125
1650608259.149359,3800207,801.2347412109375
1650608339.0249374,3805207,792.8707885742188
1650608759.7812028,3819207,801.927490234375
1650608891.8954368,3826149,812.1370239257812
1650608944.4517798,3826149,796.0629272460938
1650609204.2265508,3835417,798.5091552734375
1650609310.8119388,3840417,808.285400390625
1650610075.7686825,3869417,810.6093139648438
1650610207.9059522,3875417,809.2967529296875
1650610393.3746057,3882417,790.2188720703125
1650611551.6874506,3925417,804.1361694335938
1650611759.8218808,3935417,799.314697265625
1650611943.8819206,3940052,783.8367309570312
1650612049.3990562,3946052,810.085205078125
1650612340.9360747,3956434,811.7703857421875
1650612501.2488866,3962434,817.3992309570312
1650612659.431851,3966434,799.006103515625
1650613241.6015007,3988434,806.0625
1650613532.1774359,3999383,818.6165161132812
1650613664.8714173,4006383,823.9114990234375
1650613903.3377275,4016383,817.8682250976562
1650613930.2314568,4016383,807.7310791015625
1650614246.4909394,4027297,808.057373046875
1650614536.6497526,4038297,811.3500366210938
1650614615.474939,4042297,827.248779296875
1650614879.8896184,4052297,836.927001953125
1650616122.3659348,4098297,817.1832885742188
1650616253.0834742,4106297,841.2158203125
1650616280.1294563,4106297,813.4252319335938
1650616545.4992008,4116297,808.1572875976562
1650618475.8828557,4188219,831.6038208007812
1650618766.3086753,4198219,837.401123046875
1650618792.6051471,4198219,818.9595336914062
1650618845.0171611,4202219,834.5667114257812
1650618897.6944406,4206219,832.4323120117188
1650618977.2564526,4206219,824.7779541015625
1650619003.4463067,4208219,820.0137939453125
1650619660.1590633,4234219,827.7676391601562
1650619792.1969018,4238219,825.3690185546875
1650619869.3438804,4239219,834.29736328125
1650620081.0439732,4248219,834.3729858398438
1650620367.8876765,4258219,828.4501953125
1650620605.770299,4268884,841.6406860351562
1650620685.0027237,4271884,824.1483154296875
1650620711.0273898,4273884,831.3135375976562
1650621109.500358,4287884,841.7442016601562
1650621533.838578,4305884,820.4378662109375
1650621693.2470791,4309681,831.1950073242188
1650621799.3754191,4315681,806.6859741210938
1650622037.1949718,4323681,819.9518432617188
1650622086.7879763,4325681,820.8367919921875
1650622326.2739906,4335681,832.1195678710938
1650622430.9958336,4337681,826.5367431640625
1650622722.9460146,4348681,825.8434448242188
1650623411.1976118,4376200,832.8950805664062
1650623649.6993408,4385607,818.9598999023438
1650624043.945919,4399038,818.678466796875
1650624227.8641236,4406038,819.81591796875
1650624386.4174473,4411038,816.4091186523438
1650624490.4053037,4416038,831.3871459960938
1650624516.7145894,4417038,821.1087646484375
1650625018.4028554,4436038,828.54296875
1650625097.1965384,4439038,822.1298217773438
1650626050.9435523,4476038,829.888916015625
1650626208.549339,4479881,851.1870727539062
1650626607.3076727,4496881,858.3147583007812
1650626660.925871,4497881,844.6068725585938
1650627112.0983927,4516079,841.712646484375
1650627138.4471614,4517079,835.0406494140625
1650627636.6857998,4536079,830.0194702148438
1650627662.5919101,4537079,849.5992431640625
1650627739.7903929,4539079,854.0955200195312
1650627978.5839539,4548079,839.2603759765625
1650628267.6174676,4559079,845.2846069335938
1650628923.3442383,4583958,833.30517578125
1650629002.346748,4587958,848.376708984375
1650629293.8130808,4597958,852.363525390625
1650629371.7829506,4599958,855.1376953125
1650629424.354291,4601958,855.9447631835938
1650629475.3747218,4605958,852.3120727539062
1650629790.90368,4618566,842.7418212890625
1650630241.9733553,4633566,844.7078857421875
1650630796.9951406,4655566,844.8870239257812
1650630980.8733332,4660566,861.9678955078125
1650631192.7451406,4669566,860.9427490234375
1650631297.7634318,4673566,860.030517578125
1650631483.7126608,4679566,837.8938598632812
1650631510.0988102,4680566,855.3411254882812
1650631536.4863698,4681566,853.5437622070312
1650631800.785655,4691566,850.8360595703125
1650632488.2702227,4718566,839.20556640625
1650632619.0163429,4723566,849.49658203125
1650633041.6870618,4739566,860.95166015625
1650633330.150637,4749566,861.444091796875
1650633435.3725445,4755566,851.9444580078125
1650633461.6509855,4758566,852.4358520507812
1650633672.2192147,4763566,839.2172241210938
1650633833.5481193,4769566,845.6565551757812
1650633913.6304126,4771566,853.473388671875
1650634149.3218067,4780946,872.060791015625
1650634257.0227478,4787946,846.4779052734375
1650634441.692878,4792079,858.2240600585938
1650634468.41751,4794079,841.3675537109375
1650634626.8321612,4800079,835.2393188476562
1650634786.1383464,4806818,839.6439819335938
1650634839.45247,4807818,842.437255859375
1650634919.5687416,4810818,839.0686645507812
1650635843.5081818,4846196,853.9913940429688
1650636160.0381246,4856928,861.3648071289062
1650636659.079622,4877032,858.6467895507812
1650636712.7659662,4878032,872.7761840820312
1650637266.5299504,4899856,854.9027709960938
1650637795.2100997,4919856,855.0944213867188
1650638428.6711214,4942985,866.9093017578125
1650638509.4425626,4946985,859.2001953125
1650638854.271409,4959985,862.9844360351562
1650639064.521361,4966985,844.7640380859375
1650639303.0571601,4976985,849.8773193359375
1650639381.5581708,4979985,844.2836303710938
1650639434.1159465,4981985,863.7992553710938
1650639460.6823657,4981985,852.05517578125
1650640621.4795625,5027441,870.462890625
1650640778.8174899,5031441,882.8154296875
1650640859.021073,5037441,871.1135864257812
1650641042.5778303,5041441,869.77001953125
1650641382.4401255,5057690,858.205322265625
1650641435.54045,5057690,851.9888305664062
1650641462.1692333,5057690,859.50341796875
1650641646.5240316,5067193,851.2762451171875
1650642124.4053628,5083121,846.0161743164062
1650642728.1915257,5107121,862.0032958984375
1650642861.6842368,5112121,855.6531372070312
1650643389.9657655,5132121,854.3759765625
1650643442.883144,5133121,868.1995239257812
1650643600.971218,5140121,866.4505615234375
1650644289.1440082,5167121,862.594482421875
1650644419.3582873,5171121,866.3934326171875
1650644869.5150583,5187121,862.7630004882812
1650645344.8900619,5207121,856.304443359375
1650645556.7375357,5213121,855.254150390625
1650646163.7423406,5237121,872.0187377929688
1650646269.2508733,5241121,873.7861938476562
1650646375.0110466,5247121,880.337158203125
1650646401.1365128,5247121,865.2552490234375
1650647087.0256836,5272121,853.5419311523438
1650647697.5813391,5297121,857.8578491210938
1650648461.5939214,5323121,870.1762084960938
1650648751.864845,5337121,861.3671264648438
1650649174.5434566,5351121,840.520263671875
1650649543.8899443,5367121,873.808837890625
1650649570.3317308,5367121,881.9158935546875
1650650097.9511201,5387121,862.3834838867188
1650650729.4767494,5410121,864.0447998046875
1650651152.0637043,5427121,873.956787109375
1650651653.4534647,5447121,869.2169799804688
1650651733.5641708,5447121,877.3574829101562
1650651865.5409937,5452121,866.7026977539062
1650652845.082771,5489260,869.1904296875
1650653030.6648161,5497260,875.6504516601562
1650653136.8040586,5501260,871.29541015625
1650653296.2223387,5507260,872.0265502929688
1650653454.704929,5512260,881.71875
1650653587.3911393,5517260,874.132080078125
1650653666.1523354,5521260,875.4036865234375
1650653719.006328,5522260,872.4730224609375
1650654347.0569983,5547260,873.8800659179688
1650654557.2420566,5557260,867.6502075195312
1650655003.670657,5572260,871.7947998046875
1650655136.967693,5577260,888.6093139648438
1650655189.381929,5577260,855.8999633789062
1650655505.623415,5591260,878.5371704101562
1650655558.7350178,5592260,871.8797607421875
1650655718.0159614,5597260,873.2266845703125
1650656037.0608325,5611260,871.3739013671875
1650656167.8876557,5617260,868.8743286132812
1650656430.1755133,5627260,877.0350952148438
1650656694.7284784,5637260,880.9408569335938
1650657430.8627927,5663260,870.9332275390625
1650657483.4681869,5667260,848.9757690429688
1650657588.2310998,5669260,860.1001586914062
1650657983.6728816,5686372,879.382080078125
1650659067.3763433,5727372,874.4492797851562
1650659145.5256412,5727372,874.3729858398438
1650659619.508224,5747372,869.905517578125
1650660096.7827597,5766372,880.6571044921875
1650660547.0022888,5782372,878.9862670898438
1650660625.8353927,5786372,894.1890258789062
1650660757.246392,5789372,873.9638061523438
1650660888.879568,5796372,869.7186889648438
1650661367.1669958,5812372,890.7266845703125
1650661393.877332,5813372,892.3220825195312
1650661844.366645,5831372,883.88916015625
1650661924.125655,5833372,880.4119873046875
1650662108.7364407,5841372,887.4688110351562
1650662822.1097088,5867372,871.5941772460938
1650662875.2738516,5869372,896.2627563476562
1650663061.6533942,5877372,869.67529296875
1650663537.9636867,5896372,887.5523071289062
1650663776.8117216,5903372,889.995849609375
1650664017.1790652,5912372,873.2492065429688
1650664277.348491,5922372,891.6629638671875
1650664567.4766319,5933372,892.798828125
1650664673.042786,5937372,895.6705322265625
1650664700.4443586,5937876,889.7399291992188
1650665201.6638727,5957060,896.2969970703125
1650665332.731103,5963060,890.6703491210938
1650665384.8138368,5965060,888.82568359375
1650665490.413161,5968060,896.571044921875
1650665729.1979635,5977060,896.1809692382812
1650666207.801191,5997060,898.4168701171875
1650666736.2619135,6017060,905.3735961914062
1650666867.5913823,6022060,920.698486328125
1650667107.7919588,6030060,891.95947265625
1650667265.638216,6037060,896.6202392578125
1650667292.8264704,6037060,901.3535766601562
1650667399.7420578,6042060,898.181884765625
1650667479.3683188,6043060,908.647216796875
1650668060.4339838,6067060,914.9684448242188
1650668532.7559671,6082600,917.8831176757812
1650668638.0527632,6087600,901.8934936523438
1650668771.17008,6092600,900.8499145507812
1650669197.2942958,6108600,905.239013671875
1650669249.5578325,6111600,874.78564453125
1650669514.3605132,6121600,909.9546508789062
1650669672.2057552,6127642,902.0843505859375
1650669725.991945,6128642,908.6687622070312
1650669884.614372,6134642,923.0399780273438
1650669938.0669007,6137642,889.5034790039062
1650669991.7156065,6138642,891.7100830078125
1650670309.2101698,6151642,919.5902709960938
1650670362.5480573,6152642,897.985595703125
1650670415.1789575,6154642,916.7152099609375
1650671026.7559931,6177409,920.0584716796875
1650671267.5866277,6186409,908.2123413085938
1650671345.4214623,6189409,911.8951416015625
1650671772.396375,6205835,922.4723510742188
1650672062.9999316,6215835,901.2830200195312
1650672113.6471465,6218835,909.8671264648438
1650672272.2044265,6225044,897.9393310546875
1650672617.857036,6238044,905.9057006835938
1650672750.5589077,6244044,919.0338134765625
1650672936.2827802,6249044,906.2630615234375
1650673094.015893,6256044,913.0841674804688
1650673438.9906924,6269044,899.1452026367188
1650674130.3513756,6295130,904.2199096679688
1650674738.507662,6318655,906.4852905273438
1650674843.9994993,6321655,928.2551879882812
1650674870.1743433,6322655,930.8890380859375
1650675055.9293947,6329655,928.98828125
1650675502.6180484,6347655,908.8289794921875
1650675794.0978608,6358465,926.7468872070312
1650676081.4939814,6369124,895.669189453125
1650676268.134611,6375124,920.9387817382812
1650676426.9657712,6383124,940.554443359375
1650677063.272708,6405124,928.6212768554688
1650678518.8247526,6460859,921.24951171875
1650678623.7933457,6464859,895.4762573242188
1650678968.2459917,6478300,853.9490356445312
1650679366.3586826,6493300,864.4346923828125
1650679577.0653517,6501300,891.613525390625
1650679603.1034653,6503300,855.0914916992188
1650679708.5970592,6505300,847.519775390625
1650679972.9288325,6515158,867.6377563476562
1650680238.4186187,6525158,882.3882446289062
1650680264.969094,6527158,899.3055419921875
1650680291.1213982,6528158,904.12158203125
1650680504.3697133,6535368,849.6746215820312
1650681033.5380905,6555368,878.5601806640625
1650681669.4639387,6580368,936.0968017578125
1650681856.1177065,6586739,898.4605712890625
1650681935.7747881,6590739,927.6592407226562
1650682201.723569,6600739,914.8680419921875
1650682440.001698,6609272,924.2589721679688
1650682520.7705286,6613272,938.3037719726562
1650682784.7618291,6623610,923.6553955078125
1650682917.837659,6627241,910.7702026367188
1650683868.7459826,6663796,918.896484375
1650684106.4795094,6673695,945.1087036132812
1650684159.8325756,6673695,921.9201049804688
1650684266.5066385,6676695,915.6881103515625
1650684425.2630835,6684212,935.670166015625
1650684504.7373629,6686212,952.7559814453125
1650684690.5613177,6694212,917.2412719726562
1650684901.3868978,6703212,925.0317993164062
1650684981.11067,6704212,937.5914306640625
1650685193.3200607,6713212,948.6611328125
1650685299.1951618,6716812,908.7553100585938
